ID_NAME,change_gray,change_green
1,-1.87,3.87
2,4.02,10.33
3,1.53,5.42
4,0.18,5.09
5,5.18,3.77
6,5.32,3.11
7,3.36,1.16
8,2.89,-1.85
9,1.76,0.47
10,-3.46,1.2
11,6.29,6.89
12,0.8,0.17
13,-0.64,4.23
14,5.04,0.47
15,1.1,-1.05
16,1.19,4.08
17,6.62,3.16
18,1.82,2.46
19,4.37,1.45
20,-1.46,1.33
21,5.05,-11.59
22,-3.97,2.68
23,4.92,1.72
24,4.01,-1.95
25,-0.61,1.43
26,-0.49,0.21
27,13.14,3.35
28,0.59,-0.22
29,4.28,0.24
30,2.17,0.39
31,-1.15,1.07
32,1.97,3.96
33,-3.7,1.29
34,2.81,2.07
35,2.46,-0.96
36,-6.23,3.46
37,6.02,16.25
38,-8.35,2.51
39,5.19,0.32
40,3.22,6.51
41,9.26,23.24
42,2.59,4.11
43,13.04,7.82
44,-0.92,5.12
45,10.72,0.09
46,3.44,7.43
47,8.94,2.26
48,0.63,-0.69
49,-6.89,-0.41
50,-0.59,0.76
51,-2.65,0.34
52,-1.34,0.95
53,4.81,7.65
54,3.66,6.92
55,-0.07,-1.37
56,3.11,17.06
57,-4.37,2.12
58,1.88,0.41
59,-3.16,5.36
60,0.37,1.71
61,0.65,3.11
62,1,0.68
63,-2.99,-1.2
64,0.54,2.44
65,4.7,-2.55
66,4.66,2.23
67,0.39,3.45
68,2.49,-2.69
69,2.71,-5.17
70,-0.33,-2.98
71,0.21,3.71
72,-2.63,2.01
73,5.08,-0.79
74,1.34,6.25
75,-0.72,2.21
76,2.86,1.63
77,-3.41,0.78
78,-2.75,-4.62
79,0.65,2.13
80,1.37,5.09
81,1.37,5.09
82,1.64,1.44
83,0.61,-2.6
84,2.74,10.51
85,1.84,-3.06
86,2.75,3.88
87,-4.11,0.6
88,-0.48,0.53
89,4.16,12.2
90,-3.02,1.79
91,1.98,2.48
92,1.42,4.96
93,-1.54,-1.77
94,4.89,0.17
95,1.16,0.61
96,-0.1,5.31
97,2.32,0.98
98,2.21,9.53
99,3.13,-0.08
100,2.07,3.12
101,0.65,6.76
102,-0.04,0.33
103,-0.39,1.8
104,1.1,10.56
105,14.3,3.9
106,0.3,-1.42
107,0.88,-2.93
108,3.27,0.18
109,-3.9,-3.08
110,0.16,1.6
111,-6.95,-4.7
112,0.01,1.33
113,0.45,4
114,3.23,6.24
115,11.23,-1.5
116,-0.51,0.91
117,2.72,0.97
118,1.39,0.7
119,1.26,2.58
120,1.04,-0.98
121,1.61,-1.73
122,0.45,-2.03
123,-3.3,1.61
124,-1.54,0.49
125,3.47,0.7
126,-3.47,-4.09
127,1.04,2.02
128,2.93,1.96
129,5.92,14.65
130,-0.93,-0.87
131,-0.36,6.06
132,3.94,0.82
133,0.96,1.35
134,1.07,5.91
135,-0.71,11.63
136,3.21,1.18
137,-14.75,0.5
138,0.82,7.9
139,4.19,2.24
140,3.44,1.56
141,0.27,1.82
142,4.96,6.15
143,0.57,10.31
144,1.57,2.86
145,2.6,3.89
146,3.62,3.08
147,-3.05,-4.08
148,1.51,0.17
149,0.04,10.88
150,1.17,0.9
151,-0.97,3.24
152,2.97,0.53
153,3.72,-2.17
154,9.05,9.29
155,3.81,11.88
156,11,-0.27
157,-0.91,2.06
158,3.81,1.4
159,0.57,5.9
160,6.28,0.97
161,-2.27,0.32
162,-3.18,1.68
163,-0.15,1.13
164,1.81,3.74
165,6.69,3.18
166,-5.91,0.95
167,9.39,-4.59
168,5.59,-2.79
169,10.16,-1.56
170,-1.43,1.58
171,0.22,0.87
172,-5.74,-1.12
173,2.08,3.47
174,-3.35,2.38
175,0.48,1.93
176,7.73,-0.05
177,7.5,2.34
178,5.71,0.09
179,-2.93,0.85
180,4.19,-3.75
181,-0.83,2.92
182,2.52,-1.74
183,-7.18,0.72
184,0.67,0.51
185,2.43,2.38
186,1.29,9.92
187,3.67,2.16
188,0.93,0.11
189,4.16,3.07
190,-0.77,2.04
191,0.55,4.75
192,1.51,2.1
193,-2.89,0.76
194,-0.27,0.39
195,1.6,6.34
196,1.01,-1.52
197,1.37,2.88
198,-1.08,0.28
199,1.21,9.79
200,-4.47,3.85
201,4.85,3.85
202,0.34,0.25
203,1.98,-4.59
204,-1,2.53
205,1.15,2.89
206,6.88,7.81
207,4.41,4.78
208,1.92,0.5
209,4.52,-2.65
